2025/10/23 00:06:41 Warning: Not enough data to match format specification: [Name;Rechtswert;Hochwert;Höhe;Feature code ID;Lokales Datum;Ortszeit]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_1E1_GPS;55516.670;266039.783;813.206;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [_8-97T1_GPS;55285.551;265980.220;838.533;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67311_7E1_GPS;55609.088;265706.084;672.033;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_2E1_GPS;55955.048;266167.323;865.326;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_7E1_GPS;54895.622;265973.941;837.532;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_1E1_LOC;55516.670;266039.780;813.260;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [_8-97T1_LOC;55285.550;265980.220;838.450;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67311_7E1_LOC;55609.090;265706.090;672.040;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_2E1_LOC;55955.050;266167.320;865.320;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313_7E1_LOC;54895.620;265973.940;837.560;rmGEO;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [67313-1E1   ;55516.710;266039.810;813.260;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [376         ;55568.870;266062.260;0.000;20;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [381         ;55571.380;266045.660;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [382         ;55568.900;266061.090;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [383         ;55579.100;266062.020;0.000;20;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [384         ;55582.040;266061.770;0.000;20;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [386         ;55585.430;266061.690;0.000;20;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [387         ;55588.450;266061.280;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [388         ;55587.400;266044.240;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [389         ;55589.970;266061.010;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [390         ;55598.230;266062.160;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [391         ;55605.890;266063.910;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [393         ;55599.050;266041.550;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [394         ;55625.730;266070.900;0.000;24;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [502         ;55575.500;266063.430;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [503         ;55591.700;266062.990;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [504         ;55637.430;266077.250;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [10001       ;55639.493;266075.931;800.557;1;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [11          ;55576.980;266045.400;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [12          ;55569.360;266063.110;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [13          ;55574.630;266062.390;0.000;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [14          ;55625.707;266070.804;800.922;;;]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.01;55586.134;266045.189;803.093;4;2025-10-20;14:54:14]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.02;55586.139;266045.192;803.093;4;2025-10-20;14:54:32]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.03;55586.142;266045.196;803.104;4;2025-10-20;14:54:44]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.04;55586.145;266045.199;803.100;4;2025-10-20;14:54:58]
